ip,bytes
139.121.98.45,4816896
155.84.92.3,3162112
198.102.67.27,2968838
203.251.228.110,1222741
203.251.228.110,1190026
203.251.228.110,1158642
137.219.55.101,1158642
128.159.128.27,1032042
146.138.34.168,1032042
146.138.145.184,1032042
146.138.145.206,1032042
204.7.162.158,994143
141.243.1.172,933888
204.130.16.23,687510
161.122.12.78,597986
161.122.12.78,597986
161.122.12.78,597986
129.237.24.71,565372
163.234.224.24,565372
161.122.12.78,557056
156.98.205.46,545263
156.98.205.46,545263
156.98.205.46,545263
156.41.19.11,507904
149.168.51.35,393445
198.106.169.52,385025
141.243.1.172,352256
161.122.12.78,327680
130.19.10.65,282445
130.19.10.65,282445
160.69.35.16,274565
141.161.18.205,257066
156.63.59.132,250872
161.122.12.78,245760
192.48.125.149,231327
156.41.19.11,224429
204.242.57.164,212992
129.237.24.71,211853
150.216.15.85,202574
198.137.145.112,172735
141.243.1.172,172032
131.167.25.3,167585
128.144.102.56,167585
131.126.30.164,149681
199.77.34.51,148775
204.178.177.96,147456
165.151.47.249,141944
130.19.10.65,131072
192.88.13.159,130453
156.63.99.189,127681
143.166.206.84,122329
198.88.26.109,112390
203.251.228.110,106496
143.166.206.84,106050
131.167.48.39,103387
156.98.205.46,100083
146.138.145.126,99989
206.26.139.13,93929
149.252.214.79,93929
148.149.107.147,93759
130.101.13.102,86425
198.109.136.238,86425
204.248.203.107,86425
198.102.67.27,86425
198.102.67.27,86425
167.193.53.8,85919
205.208.30.114,84023
147.160.9.21,84023
147.160.9.21,84023
198.109.136.238,84023
128.252.99.104,84023
164.64.142.46,84023
128.253.25.114,84023
128.253.25.114,84023
128.163.40.45,84023
128.120.153.224,84023
128.120.153.224,84023
134.186.196.23,83877
163.191.186.9,81920
148.224.17.200,81920
164.159.7.12,81920
132.248.53.29,77564
198.165.30.147,76587
128.227.152.54,73728
130.19.10.65,73728
164.155.1.107,72300
204.177.210.133,70432
199.77.34.51,70432
131.167.99.59,70432
129.237.24.71,70432
129.243.129.234,70432
206.27.204.6,70432
142.25.2.206,68281
157.190.64.20,65536
170.142.111.131,65536
198.104.228.83,65536
141.243.1.172,65536
156.63.59.132,65230
165.151.47.249,63594
131.167.25.3,63314
