subnet,bytes
139.121,5207787
155.84,3895462
146.138,3865991
203.251,3785626
198.102,3260369
161.122,3008684
156.98,2045105
141.243,1754204
204.7,1463223
163.234,1380745
131.167,1295990
129.237,1287102
137.219,1162480
156.63,1115597
128.159,1087358
130.19,957522
156.41,798931
198.106,788749
204.130,758336
149.168,738384
128.120,553014
128.144,521757
148.224,517280
147.160,489386
128.163,482503
128.227,456719
129.130,454963
200.246,447618
141.161,444230
198.109,437113
134.186,424290
142.28,398729
160.69,393035
128.138,387651
202.39,378246
134.67,378120
131.52,373394
199.77,365696
131.92,361577
164.159,350670
160.80,340602
149.252,334712
138.87,326105
204.242,325549
128.252,324918
146.114,313761
192.48,310715
204.91,306466
165.151,292935
198.137,290483
164.155,271513
204.62,269983
128.253,269542
150.216,267433
134.20,247607
204.178,237817
131.178,236194
164.64,235151
143.166,232810
198.165,232157
141.173,230122
199.8,221831
198.88,220449
194.20,211300
170.142,207919
204.248,204373
38.12,202827
163.191,200364
146.184,199615
167.193,197821
199.126,190561
192.137,179178
131.126,175957
198.104,172988
198.85,169843
192.88,166495
204.255,164457
148.149,164158
204.188,162038
202.32,159922
158.229,157168
168.95,156621
206.43,154615
129.252,153937
192.146,147980
150.200,147822
158.111,146885
157.190,141854
204.185,138635
164.167,137252
144.207,134184
192.58,130459
159.238,130147
204.97,125579
192.246,122909
155.82,121928
129.15,120788
147.46,120406
205.208,118278
206.27,116718
