subnet,bytes
141.243.1,1754204
140.112.68,7811
131.215.67,32988
131.170.154,12588
202.32.50,159922
161.122.12,3008684
137.132.52,2235
149.159.22,67951
157.22.192,7513
138.25.148,45491
204.188.47,162038
204.62.245,240139
203.1.203,73853
140.120.29,11516
131.203.13,4889
198.69.241,34462
202.96.29,10296
168.95.125,156621
141.192.85,43782
149.250.222,4254
131.181.38,35339
203.251.228,3785626
132.74.12,69622
140.115.3,4889
192.146.118,147980
141.244.142,4889
137.44.6,9606
130.95.42,9566
136.210.122,3710
202.46.240,20658
130.158.72,40575
193.145.151,88485
152.165.111,7758
168.154.26,11747
192.228.164,7758
203.249.9,88045
147.46.54,100761
129.132.182,97879
194.20.235,211300
202.244.226,13205
164.155.1,271513
157.190.64,141854
192.239.68,11747
193.78.67,6085
206.26.139,114429
147.46.42,19645
205.197.136,4889
134.67.162,159505
131.92.128,136556
144.207.78,134184
140.112.34,10297
167.193.53,117729
129.190.44,47742
152.123.183,23494
163.234.52,2873
134.243.205,100679
128.159.144,17074
152.123.194,16636
152.160.78,17331
149.168.105,6255
130.101.13,86425
204.97.68,123110
192.48.125,310715
131.167.25,814914
155.84.91,542290
128.227.152,343634
170.142.111,207919
132.170.199,114859
140.96.17,24866
131.110.56,37512
192.58.206,115502
142.106.186,11516
128.23.160,11747
198.185.178,11747
192.217.93,71519
146.167.189,11747
198.216.2,23877
204.27.135,8486
131.167.48,155930
150.148.56,44356
146.229.1,2624
141.161.18,444230
199.199.170,841
198.102.1,78317
155.75.107,19910
159.105.44,33203
199.73.153,11747
156.98.205,1997426
192.246.82,22215
155.206.3,9785
155.75.105,13336
147.160.9,489386
204.157.204,11747
129.187.250,19910
199.213.177,35156
134.164.40,11747
204.242.57,325549
205.133.189,60244
146.83.128,1802
163.234.140,81936
163.234.128,19220
139.121.79,134858
143.166.206,232810
170.55.130,4889
199.111.26,16635
142.142.64,53501
204.73.0,38895
134.67.247,31613
199.190.112,4889
194.151.3,19396
159.142.162,3517
193.63.73,3421
128.159.128,1052103
38.12.1,202827
131.44.53,4889
165.113.166,26475
156.80.94,14450
134.7.60,32505
156.63.59,422796
158.111.64,11747
163.234.34,53603
158.111.97,18257
129.53.76,1140
146.64.37,55178
192.246.73,80786
155.76.34,8718
146.138.35,24439
164.159.192,43100
205.168.13,2258
149.252.214,334712
150.200.42,147822
140.183.199,35176
198.59.241,5882
198.108.132,5250
136.205.176,39957
168.29.232,18900
130.206.105,29733
157.182.94,23999
138.26.154,11747
163.234.112,275863
155.78.168,11747
147.154.93,22125
167.193.49,80092
131.52.16,373394
134.67.39,17123
156.63.155,14465
162.43.21,81723
192.107.65,11747
204.255.92,118463
149.123.103,15820
193.144.48,9502
149.8.43,2336
192.58.204,5897
204.177.210,104910
163.191.186,165420
192.72.60,7513
131.182.154,11747
199.11.48,38378
198.109.184,14450
149.79.176,32173
131.92.168,225021
134.186.196,168624
193.56.6,10301
204.171.110,100725
134.186.194,128164
129.93.236,11747
128.144.102,521757
200.246.227,432768
129.93.226,19259
192.154.33,11747
156.98.204,15020
155.77.120,31990
129.15.32,120788
141.173.58,177600
199.77.34,253685
205.138.140,11747
134.186.191,24166
155.75.31,28468
165.152.208,27129
198.88.26,220449
139.121.50,598
129.135.216,11747
155.33.62,42755
156.63.91,322674
204.62.25,29844
129.193.171,3073
146.137.152,17330
146.138.145,2750332
200.10.224,19645
199.11.62,32331
150.192.45,5226
158.72.25,15020
164.156.42,14450
146.184.114,199615
128.227.109,19910
192.246.181,4889
148.224.17,517280
204.7.162,1463223
128.227.144,93175
137.241.180,8618
161.129.48,3050
159.238.227,25393
165.1.8,74884
158.185.86,50414
165.151.47,284453
139.121.98,5041738
131.144.40,5327
205.208.30,118278
198.5.6,14507
165.151.51,3532
192.137.113,36430
192.55.134,14507
163.234.116,179570
137.187.102,5327
204.130.16,758336
199.126.17,190561
131.178.9,83630
163.234.156,31525
134.53.24,14507
128.104.66,4889
163.234.188,12588
148.129.52,8802
134.156.8,61456
199.190.82,28946
157.145.93,45500
131.250.8,67624
198.165.30,232157
131.126.30,175957
198.109.136,385812
134.136.91,14416
130.127.84,12630
167.21.131,32036
148.149.107,148459
129.237.24,1274796
155.82.20,39162
192.246.249,15019
164.158.3,35178
134.67.57,83672
192.231.222,14963
155.206.19,15340
192.239.66,39857
160.80.14,340602
156.98.168,20464
205.216.162,4888
137.227.51,89877
131.230.197,3073
146.138.12,11746
128.150.157,35238
149.168.25,136269
141.211.86,14484
139.94.97,39857
130.38.73,17607
198.109.24,36851
150.216.15,259921
129.190.221,15154
198.111.36,4888
156.98.203,12195
163.178.128,9185
169.14.20,61262
152.120.119,11746
161.119.52,14963
155.79.153,68101
162.108.35,6874
144.39.248,34095
141.173.36,52522
134.20.62,130983
129.93.222,11746
155.82.161,82766
163.191.188,15917
199.170.79,15275
204.248.203,204373
134.126.28,11590
129.228.127,35792
192.217.118,18323
137.159.177,14449
165.13.6,9384
158.111.96,116881
192.231.202,56431
146.138.34,1079474
198.105.194,47538
160.136.18,59406
128.252.99,324918
138.13.122,91352
129.57.33,14256
138.87.174,252536
164.167.106,137252
128.165.180,92006
192.249.10,102607
198.76.115,11746
163.234.60,9807
128.120.125,11359
129.252.188,93362
129.162.205,23009
204.252.77,16762
142.28.2,398729
165.152.88,2624
131.167.99,325146
129.81.186,98546
128.163.17,212306
146.142.48,81406
164.64.142,235151
150.216.67,7512
163.191.129,11515
198.85.72,169843
198.215.148,32272
132.248.53,106260
204.185.50,131631
204.194.170,42100
162.15.100,16040
134.53.98,39630
162.80.100,84489
156.41.19,798931
131.182.170,8727
153.64.63,57523
163.191.195,7512
129.162.13,43686
129.238.120,11746
204.249.225,5248
129.219.187,16530
134.67.75,4888
156.63.99,204090
136.205.18,29657
198.104.228,172988
144.92.46,24476
156.42.76,27049
128.255.51,32988
198.234.90,33221
131.120.147,2624
143.202.74,11746
130.241.163,30666
149.168.50,64249
149.168.51,531611
137.161.153,39435
142.140.32,54461
150.148.177,14506
199.222.162,47666
144.51.21,14370
161.156.150,11746
194.90.3,4888
141.233.130,103106
131.90.176,8712
128.220.72,11746
198.59.96,23554
134.116.4,4449
138.145.14,24576
204.185.47,7004
204.4.34,30842
152.35.128,14709
156.63.241,139826
129.193.186,5830
128.180.28,5388
132.175.136,19488
198.83.164,7030
128.159.146,18181
194.158.224,11746
137.35.140,78093
134.20.176,116624
152.120.123,21759
142.227.56,15204
163.234.204,108987
198.137.145,290483
139.104.10,85385
158.229.201,157168
199.4.102,5250
156.80.164,85282
198.86.33,14392
130.207.94,23026
155.84.92,3353172
153.90.241,38313
156.99.78,11746
142.2.32,34314
204.238.43,8361
129.243.129,104910
148.149.108,15699
198.106.169,788749
146.114.41,76986
192.88.13,166495
143.139.25,15019
192.195.68,38602
128.253.25,269542
144.92.184,34212
146.114.111,8280
128.158.53,73249
128.97.218,93203
204.240.48,25938
140.90.166,73392
192.43.248,11746
128.163.10,12130
131.178.81,152564
137.113.193,35969
199.249.179,3852
142.139.220,26138
134.186.133,103336
128.192.24,2624
156.63.173,11746
149.25.57,93917
204.32.176,4888
163.206.111,53638
129.252.21,60575
142.36.4,10925
159.230.8,3508
163.234.224,604773
165.235.39,11746
128.196.182,24398
134.67.41,69511
161.225.48,2624
147.97.8,17563
204.5.81,24376
198.80.60,24063
128.148.245,3947
192.58.194,9060
204.91.136,306466
157.142.200,30969
131.247.150,11808
134.243.230,15663
128.163.40,258067
146.129.161,19490
165.151.26,4950
134.67.195,11808
128.138.177,387651
204.97.2,2469
157.92.49,75908
199.223.31,1724
192.234.8,59544
204.233.135,45905
132.236.38,13925
198.77.113,92897
204.178.177,237817
162.80.60,16087
155.95.69,4914
142.94.10,11808
158.145.111,17550
199.217.3,94474
129.130.232,454963
162.43.14,15680
199.89.158,3508
129.237.223,12306
165.234.109,23944
199.89.39,16085
165.110.45,80583
159.238.20,104754
204.250.9,106596
146.63.206,5532
137.243.44,52225
130.19.10,957522
128.120.68,61554
128.120.153,480101
192.147.170,15209
198.110.207,35749
164.159.7,307570
192.137.112,142748
130.99.163,3842
161.119.73,11747
205.217.0,4950
160.69.35,393035
142.25.2,84897
204.254.252,52225
139.102.65,86042
205.133.212,41326
198.31.73,78256
204.255.215,45994
146.114.26,228495
156.3.41,70215
205.241.144,2624
204.194.175,19645
203.2.83,10788
149.136.2,11577
194.166.2,18280
192.102.13,9279
192.74.216,15081
199.77.66,112011
206.27.204,116718
199.8.210,221831
199.73.129,75178
137.229.144,16131
129.93.229,11808
202.39.249,378246
163.13.143,11577
165.213.131,23813
204.120.34,32988
133.62.128,44317
200.246.240,14850
141.209.3,1824
129.108.62,12649
198.59.172,25431
199.1.106,60892
198.102.67,3182052
192.122.180,68165
204.250.21,2624
155.187.32,7574
131.95.119,46091
128.206.30,4233
206.43.171,154615
199.170.121,9234
139.121.102,30593
137.219.55,1162480
155.81.101,11808
205.218.98,88716
139.230.166,95929
130.54.47,13603
204.165.200,41943
204.176.47,26174
138.87.164,73569
204.157.71,95214
129.96.209,4996
143.188.9,42748
